Periodos,IGAE
1993/01,60.40769086
1993/02,61.02252106
1993/03,63.94324936
1993/04,61.86598396
1993/05,63.61289973
1993/06,62.88258738
1993/07,62.79795336
1993/08,62.02788631
1993/09,62.01833687
1993/10,62.83480112
1993/11,63.6217709
1993/12,66.12119267
1994/01,63.0292681
1994/02,62.73315589
1994/03,65.79027457
1994/04,65.89171611
1994/05,66.8588023
1994/06,66.63579091
1994/07,64.70206224
1994/08,65.79634346
1994/09,65.76477448
1994/10,66.73068481
1994/11,67.84687403
1994/12,68.06744038
1995/01,65.1023361
1995/02,60.29418969
1995/03,62.92986528
1995/04,59.2390871
1995/05,61.1767744
1995/06,61.08234157
1995/07,59.77916962
1995/08,61.06820428
1995/09,60.84771988
1995/10,60.21824329
1995/11,63.0601993
1995/12,65.41345892
1996/01,64.59735912
1996/02,63.25033366
1996/03,65.00435442
1996/04,63.8220199
1996/05,66.56895891
1996/06,65.57816672
1996/07,65.91223071
1996/08,65.36457339
1996/09,65.03774493
1996/10,67.82463933
1996/11,68.55904156
1996/12,69.26845104
1997/01,67.92226404
1997/02,66.01571884
1997/03,67.08871365
1997/04,70.18938746
1997/05,71.25363161
1997/06,70.71757442
1997/07,70.48390145
1997/08,70.02845054
1997/09,70.75158476
1997/10,73.23727855
1997/11,72.75789249
1997/12,73.78043868
1998/01,72.28125025
1998/02,71.26763982
1998/03,75.30751296
1998/04,72.95237567
1998/05,75.13801507
1998/06,74.64518739
1998/07,74.61446188
1998/08,73.4792498
1998/09,73.76731713
1998/10,74.46417987
1998/11,74.44344023
1998/12,75.67735182
1999/01,74.28380696
1999/02,72.70940159
1999/03,76.99210855
1999/04,74.32922748
1999/05,76.92304154
1999/06,76.55674514
1999/07,76.31262484
1999/08,75.67001379
1999/09,76.24775268
1999/10,76.4546544
1999/11,77.67013199
1999/12,78.05346844
2000/01,77.93002889
2000/02,77.36731614
2000/03,80.35795014
2000/04,77.00756382
2000/05,82.34330513
2000/06,81.54154492
2000/07,79.62972558
2000/08,81.19074097
2000/09,80.16487255
2000/10,80.8095844
2000/11,80.9161857
2000/12,79.49830139
2001/01,79.423458
2001/02,76.41925797
2001/03,80.76787395
2001/04,77.53115468
2001/05,81.78408862
2001/06,80.60700763
2001/07,79.32531293
2001/08,80.5870321
2001/09,78.26957304
2001/10,79.97355162
2001/11,80.09389928
2001/12,79.09246906
2002/01,77.38628506
2002/02,75.10931535
2002/03,77.12227245
2002/04,80.83023511
2002/05,82.06994188
2002/06,79.7212702
2002/07,79.92718369
2002/08,80.30576052
2002/09,78.38017964
2002/10,81.60773861
2002/11,80.09518211
2002/12,80.49050676
2003/01,79.27238881
2003/02,77.17550499
2003/03,80.33975541
2003/04,79.95092846
2003/05,82.28841849
2003/06,81.44336982
2003/07,80.93570117
2003/08,79.41995226
2003/09,79.1887802
2003/10,81.87910955
2003/11,80.63451339
2003/12,83.33036987
2004/01,80.93006635
2004/02,79.19382199
2004/03,84.92784856
2004/04,82.9362251
2004/05,85.23904957
2004/06,85.62087256
2004/07,82.94023395
2004/08,83.13243978
2004/09,82.19750856
2004/10,84.36268485
2004/11,85.94153974
2004/12,86.23056724
2005/01,82.25837015
2005/02,80.89941992
2005/03,83.62639537
2005/04,86.5937284
2005/05,87.88889111
2005/06,86.35208741
2005/07,83.78419978
2005/08,86.43119917
2005/09,84.64255962
2005/10,86.8531035
2005/11,88.65732484
2005/12,89.15109833
2006/01,87.04556086
2006/02,84.08296576
2006/03,89.54008126
2006/04,87.10250107
2006/05,93.13935299
2006/06,91.36864166
2006/07,88.35889371
2006/08,90.24618555
2006/09,87.8690976
2006/10,91.59748752
2006/11,91.14519905
2006/12,90.86138106
2007/01,88.7772867
2007/02,85.76827932
2007/03,91.42205193
2007/04,89.32062667
2007/05,94.32236751
2007/06,93.53459878
2007/07,91.41102201
2007/08,92.21732725
2007/09,89.47517866
2007/10,95.27999015
2007/11,93.80925926
2007/12,92.45719852
2008/01,90.9543474
2008/02,88.9893328
2008/03,89.05325631
2008/04,94.71532769
2008/05,94.86435739
2008/06,94.45588261
2008/07,94.15930711
2008/08,91.49309267
2008/09,90.57650925
2008/10,95.50683278
2008/11,92.04269969
2008/12,91.8950548
2009/01,84.89587697
2009/02,81.84098478
2009/03,86.87355235
2009/04,84.31066804
2009/05,86.08158933
2009/06,88.1842647
2009/07,88.7316926
2009/08,86.55360374
2009/09,86.50377959
2009/10,91.12057232
2009/11,91.24910129
2009/12,91.85630172
2010/01,86.86702427
2010/02,85.22716496
2010/03,92.29228523
2010/04,90.58181769
2010/05,92.30004829
2010/06,93.23104755
2010/07,92.32868769
2010/08,91.5621927
2010/09,90.55652722
2010/10,93.84529496
2010/11,95.96933083
2010/12,95.59592412
2011/01,90.20545863
2011/02,88.56873792
2011/03,95.82898512
2011/04,91.60004822
2011/05,95.94630479
2011/06,96.48830535
2011/07,95.21792386
2011/08,96.53903047
2011/09,94.10211176
2011/10,97.43771117
2011/11,101.0827505
2011/12,98.81574871
2012/01,94.67462806
2012/02,94.07903359
2012/03,99.09222189
2012/04,95.47931724
2012/05,100.3152507
2012/06,99.68684318
2012/07,99.31090882
2012/08,99.0991744
2012/09,95.18924442
2012/10,101.8599089
2012/11,104.3864855
2012/12,100.5281639
2013/01,97.96857602
2013/02,94.67100864
2013/03,97.06078343
2013/04,99.91621809
2013/05,102.2752843
2013/06,99.5175383
2013/07,100.8098214
2013/08,100.2735702
2013/09,96.8067506
2013/10,103.6671968
2013/11,104.231667
2013/12,102.8015852
2014/01,98.75514972
2014/02,96.95654642
2014/03,101.4948488
2014/04,100.3185613
2014/05,104.8608382
2014/06,102.8940329
2014/07,104.1386925
2014/08,101.7362405
2014/09,100.0154845
2014/10,106.8110689
2014/11,106.4798532
2014/12,106.8813482
2015/01,102.3197693
2015/02,99.87054867
2015/03,104.9661191
2015/04,103.6879189
2015/05,106.1979455
2015/06,107.3170725
2015/07,107.4600804
2015/08,105.4826943
2015/09,105.0228661
2015/10,109.2946175
2015/11,109.0990844
2015/12,109.2629308
2016/01,104.4187911
2016/02,104.5800241
2016/03,105.9083354
2016/04,107.2924588
2016/05,109.0623565
2016/06,109.9615316
2016/07,107.5249028
2016/08,108.9484727
2016/09,106.0608005
2016/10,110.5644628
2016/11,114.1459547
2016/12,112.5101114
2017/01,108.4204424
2017/02,105.2841849
2017/03,111.9049301
2017/04,106.2022894
2017/05,112.3032917
2017/06,112.7974674
2017/07,108.9550867
2017/08,111.770164
2017/09,106.3217832
2017/10,112.847942
2017/11,116.1781457
2017/12,113.9968988
2018/01,111.0130557
2018/02,107.8083993
2018/03,111.1959208
2018/04,111.5990508
2018/05,115.8267381
2018/06,114.4432204
2018/07,112.8013282
2018/08,114.3255464
2018/09,108.7688155
2018/10,115.9630204
2018/11,117.729597
2018/12,113.1117352
2019/01,112.5289557
2019/02,108.8506875
2019/03,112.2976875
2019/04,109.8242701
2019/05,115.243822
2019/06,112.8353423
2019/07,113.3763882
2019/08,113.2323698
2019/09,108.8536995
2019/10,115.3580838
2019/11,116.2553517
2019/12,113.3416009
2020/01,112.3198251
2020/02,108.799167
2020/03,109.9900936
2020/04,88.29149302
2020/05,89.02379681
2020/06,97.95673435
2020/07,102.4130652
2020/08,102.8190063
2020/09,103.4774868
2020/10,109.426527
2020/11,111.2927737
2020/12,111.151777
2021/01,105.5560512
2021/02,102.8135107
2021/03,111.4922625
2021/04,107.809274
2021/05,111.1324572
2021/06,110.733729
2021/07,109.1991118
2021/08,106.9561229
2021/09,104.1223302
2021/10,108.2298177
2021/11,112.5419091
2021/12,112.6219839
2022/01,107.2700556
2022/02,105.5565997
2022/03,112.2438627
2022/04,109.6861605
2022/05,114.2686002
2022/06,112.7533372
2022/07,111.3702094
2022/08,113.0871997
2022/09,109.529333
2022/10,113.1213028
2022/11,116.3406061
2022/12,115.5770715
2023/01,112.0939435
2023/02,109.6132609